,identificacao,activity,number_steps_x,Unnamed: 0,CompleteTimestamp,timestamp,number_steps_y,is_first_step,timestamp_shift,duracao,tempo_restante_conclusao,tempo_passado,day,month,year,day_of_week,is_weekend,quarter,is_quarter_end,hour,minute,second,steps,activity_cat
1923,1339,9,7,3942,2011-07-11 20:47:43,2011-07-11 20:47:43,7,0,2011-07-12 21:39:57,1.0362731481481482,14.97523148148148,0.0058449074074076,11,7,2011,0,0,3,0,20,47,43,7,8
1924,1339,9,7,3944,2011-07-12 21:45:22,2011-07-12 21:45:22,7,0,2011-07-13 15:32:18,0.7409259259259259,11.71474537037037,1.0362731481481475,12,7,2011,1,0,3,0,21,45,22,7,8
1925,776,8,3,2219,2012-06-06 16:51:45,2012-06-06 16:51:45,3,0,2012-06-06 16:51:59,0.000162037037037,1.7473263888888888,0.0,6,6,2012,2,0,2,0,16,51,45,3,7
1926,2823,6,3,8426,2012-01-17 23:28:11,2012-01-17 23:28:11,3,0,0 days 00:00:00,0.0,0.8986921296296293,0.8986921296296293,17,1,2012,1,0,1,0,23,28,11,3,5
1927,4346,8,3,12992,2011-02-18 19:25:52,2011-02-18 19:25:52,3,0,2011-02-18 19:31:02,0.0035879629629629,0.0162037037037037,0.0,18,2,2011,4,0,1,0,19,25,52,3,7
1928,4311,8,3,12887,2012-05-26 00:37:19,2012-05-26 00:37:19,3,0,2012-05-26 00:39:45,0.0016898148148148,0.0920486111111111,0.0,26,5,2012,5,1,2,0,0,37,19,3,7
1929,3250,1,6,9676,2011-02-18 01:48:02,2011-02-18 01:48:02,6,1,2011-02-18 01:48:50,0.0005555555555555,28.92898148148148,0.0,18,2,2011,4,0,1,0,1,48,2,6,0
1930,3458,1,2,10287,2012-02-08 01:01:46,2012-02-08 01:01:46,2,1,2012-02-08 01:02:54,0.000787037037037,0.000787037037037,0.0,8,2,2012,2,0,1,0,1,1,46,2,0
1931,1818,6,3,5398,2011-10-20 15:42:40,2011-10-20 15:42:40,3,0,0 days 00:00:00,0.0,0.0418287037037037,0.0418287037037037,20,10,2011,3,0,4,0,15,42,40,3,5
1932,3714,8,3,11013,2011-12-15 01:21:08,2011-12-15 01:21:08,3,0,2011-12-15 01:36:24,0.0106018518518518,2.0574652777777778,0.0,15,12,2011,3,0,4,0,1,21,8,3,7
1933,607,8,5,1697,2011-06-14 15:22:14,2011-06-14 15:22:14,5,0,2011-06-16 23:20:04,2.3318287037037035,3.255196759259259,0.0,14,6,2011,1,0,2,0,15,22,14,5,7
1934,607,8,5,1699,2011-06-17 21:19:03,2011-06-17 21:19:03,5,0,2011-06-17 21:20:01,0.0006712962962962,2.3399074074074075,0.0074074074074075,17,6,2011,4,0,2,0,21,19,3,5,7
1935,995,9,5,2900,2011-05-26 17:53:17,2011-05-26 17:53:17,5,0,2011-07-01 16:04:12,35.924247685185186,36.96922453703704,0.0003472222222242,26,5,2011,3,0,2,0,17,53,17,5,8
1936,2605,1,4,7764,2010-07-02 19:01:32,2010-07-02 19:01:32,4,1,2010-07-06 00:25:56,3.225277777777778,33.86086805555556,0.0,2,7,2010,4,0,3,0,19,1,32,4,0
1937,922,6,6,2675,2011-03-25 23:54:47,2011-03-25 23:54:47,6,0,0 days 00:00:00,0.0,16.230787037037032,10.13199074074074,25,3,2011,4,0,1,0,23,54,47,6,5
1938,4132,8,4,12329,2011-12-21 20:22:09,2011-12-21 20:22:09,4,0,2011-12-22 00:53:12,0.1882291666666666,0.1884143518518518,0.0,21,12,2011,2,0,4,0,20,22,9,4,7
1939,877,9,4,2521,2012-05-25 20:55:45,2012-05-25 20:55:45,4,0,2012-06-01 15:02:59,6.755023148148148,6.75912037037037,0.0040972222222226,25,5,2012,4,0,2,0,20,55,45,4,8
1940,730,8,5,2072,2011-05-05 23:59:14,2011-05-05 23:59:14,5,0,2011-05-06 21:33:21,0.8986921296296296,34.976157407407406,0.0,5,5,2011,3,0,2,0,23,59,14,5,7
1941,730,8,5,2074,2011-06-09 23:24:23,2011-06-09 23:24:23,5,0,2011-06-09 23:24:36,0.0001504629629629,34.07761574074074,0.0003587962962967,9,6,2011,3,0,2,0,23,24,23,5,7
1942,2531,8,3,7551,2011-11-04 20:15:31,2011-11-04 20:15:31,3,0,2011-11-04 20:21:19,0.0040277777777777,0.1205671296296296,0.0,4,11,2011,4,0,4,0,20,15,31,3,7
1943,677,9,4,1909,2011-12-23 20:37:08,2011-12-23 20:37:08,4,0,2011-12-29 18:41:34,5.919745370370371,15.81741898148148,0.0,23,12,2011,4,0,4,0,20,37,8,4,8
1944,1349,1,4,3978,2011-12-27 23:51:23,2011-12-27 23:51:23,4,1,2012-01-05 19:04:26,8.800729166666667,23.762430555555557,0.0,27,12,2011,1,0,4,0,23,51,23,4,0
1945,4308,6,3,12878,2011-09-15 18:17:38,2011-09-15 18:17:38,3,0,0 days 00:00:00,0.0,0.0003819444444444,0.0003819444444444,15,9,2011,3,0,3,0,18,17,38,3,5
1946,3488,6,3,10382,2011-06-17 20:28:55,2011-06-17 20:28:55,3,0,0 days 00:00:00,0.0,0.0014236111111111,0.0014236111111111,17,6,2011,4,0,2,0,20,28,55,3,5
1947,127,6,3,337,2010-03-12 18:37:27,2010-03-12 18:37:27,3,0,0 days 00:00:00,0.0,0.0001273148148148,0.0001273148148148,12,3,2010,4,0,1,0,18,37,27,3,5
1948,3633,6,3,10806,2012-06-29 23:31:17,2012-06-29 23:31:17,3,0,0 days 00:00:00,0.0,0.0437152777777777,0.0437152777777777,29,6,2012,4,0,2,0,23,31,17,3,5
1949,2299,8,3,6844,2010-08-05 15:52:19,2010-08-05 15:52:19,3,0,2010-08-05 20:40:44,0.2002893518518518,27.878622685185185,0.0,5,8,2010,3,0,3,0,15,52,19,3,7
1950,991,9,5,2884,2011-05-18 15:02:46,2011-05-18 15:02:46,5,0,2011-06-07 15:36:50,20.02365740740741,24.79711805555556,6.944444444556552e-05,18,5,2011,2,0,2,0,15,2,46,5,8
1951,4524,8,3,13536,2010-06-22 17:15:30,2010-06-22 17:15:30,3,0,2010-06-22 17:17:54,0.0016666666666666,0.0024189814814814,0.0,22,6,2010,1,0,2,0,17,15,30,3,7
1952,4523,6,3,13534,2010-12-29 18:21:03,2010-12-29 18:21:03,3,0,0 days 00:00:00,0.0,0.0009259259259257,0.0009259259259257,29,12,2010,2,0,4,0,18,21,3,3,5
1953,2360,8,4,7038,2011-07-01 17:22:31,2011-07-01 17:22:31,4,0,2011-07-14 18:17:03,13.03787037037037,13.038078703703704,0.0002083333333331,1,7,2011,4,0,3,0,17,22,31,4,7
1954,2943,6,4,8797,2011-01-27 00:41:16,2011-01-27 00:41:16,4,0,0 days 00:00:00,0.0,6.984895833333335,6.984826388888889,27,1,2011,3,0,1,0,0,41,16,4,5
1955,996,6,3,2905,2011-01-14 18:31:54,2011-01-14 18:31:54,3,0,0 days 00:00:00,0.0,3.7626273148148144,3.7626273148148144,14,1,2011,4,0,1,0,18,31,54,3,5
1956,3675,8,3,10900,2012-05-25 21:19:08,2012-05-25 21:19:08,3,0,2012-05-28 16:22:48,2.794212962962963,2.794212962962963,0.0,25,5,2012,4,0,2,0,21,19,8,3,7
1957,269,6,2,743,2012-01-03 18:15:12,2012-01-03 18:15:12,2,0,0 days 00:00:00,0.0,0.0,0.0,3,1,2012,1,0,1,0,18,15,12,2,5
1958,1943,6,10,5783,2011-05-09 23:44:14,2011-05-09 23:44:14,10,0,2011-05-10 18:08:54,0.7671296296296296,43.05063657407407,0.0901388888888874,9,5,2011,0,0,2,0,23,44,14,10,5
1959,1943,6,10,5787,2011-05-26 17:27:22,2011-05-26 17:27:22,10,0,0 days 00:00:00,0.0,22.566666666666663,15.970937499999998,26,5,2011,3,0,2,0,17,27,22,10,5
1960,1492,6,7,4395,2011-07-04 19:05:25,2011-07-04 19:05:25,7,0,0 days 00:00:00,0.0,5.130416666666666,4.874548611111111,4,7,2011,0,0,3,0,19,5,25,7,5
1961,4461,6,3,13345,2012-08-06 16:58:07,2012-08-06 16:58:07,3,0,0 days 00:00:00,0.0,3.989988425925925,3.989988425925926,6,8,2012,0,0,3,0,16,58,7,3,5
1962,3106,6,4,9246,2012-07-09 17:56:54,2012-07-09 17:56:54,4,0,2012-07-09 17:56:55,1.1574074074074072e-05,16.991898148148145,1.1574074072484564e-05,9,7,2012,0,0,3,0,17,56,54,4,5
1963,3106,6,4,9247,2012-07-09 17:56:55,2012-07-09 17:56:55,4,0,0 days 00:00:00,0.0,0.0001273148148115,0.000115740740739,9,7,2012,0,0,3,0,17,56,55,4,5
1964,426,1,6,1181,2011-03-15 22:18:19,2011-03-15 22:18:19,6,1,2011-03-15 22:18:50,0.0003587962962962,29.767060185185187,0.0,15,3,2011,1,0,1,0,22,18,19,6,0
1965,499,6,3,1391,2011-01-31 17:58:40,2011-01-31 17:58:40,3,0,0 days 00:00:00,0.0,0.2004166666666664,0.2004166666666664,31,1,2011,0,0,1,0,17,58,40,3,5
1966,3615,8,4,10749,2010-05-17 22:12:58,2010-05-17 22:12:58,4,0,2010-05-17 22:14:12,0.0008564814814814,0.001099537037037,0.0002430555555555,17,5,2010,0,0,2,0,22,12,58,4,7
1967,1367,1,3,4027,2010-04-26 18:34:05,2010-04-26 18:34:05,3,1,2010-05-04 21:19:40,8.114988425925926,8.115648148148148,0.0,26,4,2010,0,0,2,0,18,34,5,3,0
1968,1205,1,3,3551,2011-06-13 17:22:41,2011-06-13 17:22:41,3,1,2011-06-13 17:22:52,0.0001273148148148,0.0004513888888888,0.0,13,6,2011,0,0,2,0,17,22,41,3,0
1969,975,1,4,2846,2012-03-05 19:14:32,2012-03-05 19:14:32,4,1,2012-03-05 22:29:12,0.1351851851851851,0.2761921296296296,0.0,5,3,2012,0,0,1,0,19,14,32,4,0
1970,1747,1,3,5184,2011-11-08 20:02:56,2011-11-08 20:02:56,3,1,2011-11-08 22:53:16,0.118287037037037,0.2286574074074074,0.0,8,11,2011,1,0,4,0,20,2,56,3,0
1971,4528,6,5,13548,2011-11-18 23:35:55,2011-11-18 23:35:55,5,0,2011-11-21 19:42:07,2.837638888888889,9.831296296296296,0.0,18,11,2011,4,0,4,0,23,35,55,5,5
1972,4528,6,5,13551,2011-11-28 18:30:49,2011-11-28 18:30:49,5,0,0 days 00:00:00,0.0,2.8808333333333334,2.837638888888889,28,11,2011,0,0,4,0,18,30,49,5,5
1973,4111,6,2,12260,2012-03-14 20:16:13,2012-03-14 20:16:13,2,0,0 days 00:00:00,0.0,0.0,0.0,14,3,2012,2,0,1,0,20,16,13,2,5
1974,2296,8,3,6834,2012-08-07 17:48:17,2012-08-07 17:48:17,3,0,2012-08-07 18:06:48,0.0128587962962962,0.0128587962962962,0.0,7,8,2012,1,0,3,0,17,48,17,3,7
1975,1917,6,2,5694,2011-08-05 17:46:52,2011-08-05 17:46:52,2,0,0 days 00:00:00,0.0,0.0,0.0,5,8,2011,4,0,3,0,17,46,52,2,5
1976,2036,8,4,6078,2011-12-16 18:08:07,2011-12-16 18:08:07,4,0,2011-12-30 18:22:24,14.009918981481482,25.28922453703704,0.0,16,12,2011,4,0,4,0,18,8,7,4,7
1977,2419,9,4,7221,2012-07-06 15:22:57,2012-07-06 15:22:57,4,0,2012-07-13 21:49:49,7.268657407407407,7.26875,9.2592592592311e-05,6,7,2012,4,0,3,0,15,22,57,4,8
1978,4350,8,4,13002,2011-07-05 17:27:24,2011-07-05 17:27:24,4,0,2011-07-19 21:37:46,14.17386574074074,14.174097222222224,0.0002314814814816,5,7,2011,1,0,3,0,17,27,24,4,7
1979,1310,9,5,3858,2010-12-15 17:57:43,2010-12-15 17:57:43,5,0,2011-01-10 17:28:37,25.979791666666667,25.98047453703704,0.0001620370370361,15,12,2010,2,0,4,0,17,57,43,5,8
1980,4223,8,4,12595,2010-03-11 17:06:33,2010-03-11 17:06:33,4,0,2010-03-12 23:33:52,1.2689699074074074,1.269074074074074,0.0001041666666665,11,3,2010,3,0,1,0,17,6,33,4,7
1981,1728,1,6,5128,2010-09-02 22:42:45,2010-09-02 22:42:45,6,0,2010-09-03 16:47:27,0.7532638888888888,6.194525462962963,0.0,2,9,2010,3,0,3,0,22,42,45,6,0
1982,505,6,3,1409,2012-02-02 00:22:25,2012-02-02 00:22:25,3,0,0 days 00:00:00,0.0,0.0002199074074074,0.0002199074074074,2,2,2012,3,0,1,0,0,22,25,3,5
1983,3549,9,7,10561,2011-08-11 20:19:12,2011-08-11 20:19:12,7,0,2011-08-12 16:25:18,0.8375694444444445,24.934942129629636,2.314814814852184e-05,11,8,2011,3,0,3,0,20,19,12,7,8
1984,3549,9,7,10563,2011-08-12 17:57:04,2011-08-12 17:57:04,7,0,2011-09-05 18:41:55,24.031145833333333,24.871793981481485,0.0024768518518527,12,8,2011,4,0,3,0,17,57,4,7,8
1985,3726,1,3,11055,2012-01-26 22:07:42,2012-01-26 22:07:42,3,1,2012-01-30 18:28:47,3.847974537037037,3.850104166666666,0.0,26,1,2012,3,0,1,0,22,7,42,3,0
1986,183,6,4,500,2010-05-24 15:18:09,2010-05-24 15:18:09,4,0,0 days 00:00:00,0.0,0.6994212962962965,0.6978935185185184,24,5,2010,0,0,2,0,15,18,9,4,5
1987,3948,8,4,11740,2012-05-29 18:44:10,2012-05-29 18:44:10,4,0,2012-06-01 17:11:44,2.935810185185185,4.090914351851851,0.0,29,5,2012,1,0,2,0,18,44,10,4,7
1988,3474,6,3,10337,2012-03-02 19:51:21,2012-03-02 19:51:21,3,0,0 days 00:00:00,0.0,9.259259259259205e-05,9.259259259259205e-05,2,3,2012,4,0,1,0,19,51,21,3,5
1989,550,1,2,1539,2011-08-26 15:17:43,2011-08-26 15:17:43,2,1,2011-08-26 15:26:10,0.0058680555555555,0.0058680555555555,0.0,26,8,2011,4,0,3,0,15,17,43,2,0
1990,2373,1,6,7073,2011-02-14 20:31:16,2011-02-14 20:31:16,6,1,2011-02-14 20:33:58,0.001875,1.2153935185185183,0.0,14,2,2011,0,0,1,0,20,31,16,6,0
1991,2373,1,6,7074,2011-02-14 20:33:58,2011-02-14 20:33:58,6,0,2011-02-14 20:37:05,0.0021643518518518,1.2153125,0.0,14,2,2011,0,0,1,0,20,33,58,6,0
1992,2954,6,3,8833,2010-05-28 17:17:20,2010-05-28 17:17:20,3,0,0 days 00:00:00,0.0,0.0010416666666667,0.0010416666666667,28,5,2010,4,0,2,0,17,17,20,3,5
1993,4015,6,3,11961,2012-07-04 17:10:08,2012-07-04 17:10:08,3,0,0 days 00:00:00,0.0,0.0909606481481479,0.0909606481481482,4,7,2012,2,0,3,0,17,10,8,3,5
1994,1166,1,3,3416,2010-10-25 21:16:01,2010-10-25 21:16:01,3,1,2010-10-26 15:49:21,0.7731481481481481,0.7738773148148148,0.0,25,10,2010,0,0,4,0,21,16,1,3,0
1995,905,6,4,2622,2011-07-19 22:54:58,2011-07-19 22:54:58,4,0,0 days 00:00:00,0.0,0.0065277777777777,0.0063541666666666,19,7,2011,1,0,3,0,22,54,58,4,5
1996,3642,9,6,10828,2012-01-09 18:21:28,2012-01-09 18:21:28,6,0,2012-01-11 20:03:54,2.071134259259259,25.99056712962963,0.0,9,1,2012,0,0,1,0,18,21,28,6,8
1997,350,1,4,970,2011-12-28 22:37:00,2011-12-28 22:37:00,4,1,2012-01-18 20:36:11,20.91609953703704,40.90618055555555,0.0,28,12,2011,2,0,4,0,22,37,0,4,0
1998,715,9,5,2022,2010-07-28 17:51:16,2010-07-28 17:51:16,5,0,2010-08-30 21:31:04,33.15263888888889,33.16138888888889,0.0003356481481446,28,7,2010,2,0,3,0,17,51,16,5,8
1999,4363,6,5,13032,2011-07-04 19:02:07,2011-07-04 19:02:07,5,0,0 days 00:00:00,0.0,0.9796412037037032,0.944085648148148,4,7,2011,0,0,3,0,19,2,7,5,5
2000,689,1,3,1942,2010-07-21 16:06:02,2010-07-21 16:06:02,3,1,2010-07-26 16:59:00,5.036782407407407,5.037233796296296,0.0,21,7,2010,2,0,3,0,16,6,2,3,0
2001,2048,9,5,6114,2011-02-07 22:33:56,2011-02-07 22:33:56,5,0,2011-02-23 19:34:24,15.875324074074074,26.977465277777775,0.1453240740740753,7,2,2011,0,0,1,0,22,33,56,5,8
2002,827,6,4,2377,2011-11-18 18:10:41,2011-11-18 18:10:41,4,0,0 days 00:00:00,0.0,1.8169791666666664,1.8149189814814812,18,11,2011,4,0,4,0,18,10,41,4,5
2003,1158,9,6,3399,2011-06-23 18:00:20,2011-06-23 18:00:20,6,0,2011-07-21 21:33:50,28.148263888888888,28.24293981481481,0.0002314814814816,23,6,2011,3,0,2,0,18,0,20,6,8
2004,3220,1,3,9590,2011-07-28 18:03:27,2011-07-28 18:03:27,3,1,2011-08-03 15:13:42,5.882118055555556,42.9754050925926,0.0,28,7,2011,3,0,3,0,18,3,27,3,0
2005,4079,1,3,12162,2010-07-12 20:42:45,2010-07-12 20:42:45,3,1,2010-07-12 20:43:53,0.000787037037037,0.0076157407407407,0.0,12,7,2010,0,0,3,0,20,42,45,3,0
2006,279,6,2,782,2011-10-07 17:50:33,2011-10-07 17:50:33,2,0,0 days 00:00:00,0.0,0.0,0.0,7,10,2011,4,0,4,0,17,50,33,2,5
2007,431,1,3,1200,2012-02-03 00:06:04,2012-02-03 00:06:04,3,1,2012-02-03 00:06:16,0.0001388888888888,0.7243518518518519,0.0,3,2,2012,4,0,1,0,0,6,4,3,0
2008,827,1,4,2374,2011-11-14 19:49:02,2011-11-14 19:49:02,4,1,2011-11-16 22:34:14,2.1147222222222224,3.931701388888889,0.0,14,11,2011,0,0,4,0,19,49,2,4,0
2009,1589,6,3,4706,2010-05-20 16:42:23,2010-05-20 16:42:23,3,0,0 days 00:00:00,0.0,2.7088078703703715,2.7088078703703715,20,5,2010,3,0,2,0,16,42,23,3,5
2010,1094,1,3,3205,2012-06-13 15:45:34,2012-06-13 15:45:34,3,1,2012-06-13 18:27:30,0.1124537037037037,5.295347222222222,0.0,13,6,2012,2,0,2,0,15,45,34,3,0
2011,198,8,3,541,2011-04-28 21:46:46,2011-04-28 21:46:46,3,0,2011-05-09 23:43:48,11.081273148148147,11.081273148148147,0.0,28,4,2011,3,0,2,0,21,46,46,3,7
2012,454,1,3,1259,2011-11-09 00:52:09,2011-11-09 00:52:09,3,1,2011-11-09 00:52:23,0.000162037037037,0.0193402777777777,0.0,9,11,2011,2,0,4,0,0,52,9,3,0
2013,1921,8,3,5704,2011-10-06 16:06:00,2011-10-06 16:06:00,3,0,2011-10-06 17:11:40,0.0456018518518518,9.030474537037035,0.0,6,10,2011,3,0,4,0,16,6,0,3,7
2014,2633,1,6,7839,2010-11-12 23:35:54,2010-11-12 23:35:54,6,1,2010-11-12 23:36:14,0.0002314814814814,12.77340277777778,0.0,12,11,2010,4,0,4,0,23,35,54,6,0
2015,1575,8,7,4663,2011-05-19 23:45:56,2011-05-19 23:45:56,7,0,2011-05-20 22:41:00,0.9549074074074074,17.679988425925927,0.0,19,5,2011,3,0,2,0,23,45,56,7,7
2016,1575,8,7,4665,2011-05-27 22:22:22,2011-05-27 22:22:22,7,0,2011-05-27 22:23:07,0.0005208333333333,17.640405092592594,0.0005208333333328,27,5,2011,4,0,2,0,22,22,22,7,7
2017,1575,8,7,4667,2011-06-06 15:07:42,2011-06-06 15:07:42,7,0,2011-06-06 16:05:07,0.0398726851851851,10.693217592592593,0.9549074074074078,6,6,2011,0,0,2,0,15,7,42,7,7
2018,1418,1,3,4176,2012-02-24 21:01:35,2012-02-24 21:01:35,3,1,2012-02-29 00:35:26,4.148506944444445,5.9510300925925925,0.0,24,2,2012,4,0,1,0,21,1,35,3,0
2019,3911,1,4,11638,2010-06-11 18:30:16,2010-06-11 18:30:16,4,1,2010-06-11 18:30:41,0.0002893518518518,3.271261574074074,0.0,11,6,2010,4,0,2,0,18,30,16,4,0
2020,3911,1,4,11639,2010-06-11 18:30:41,2010-06-11 18:30:41,4,0,2010-06-15 01:00:45,3.2708796296296296,3.2711689814814813,0.0,11,6,2010,4,0,2,0,18,30,41,4,0
2021,2892,8,3,8633,2010-08-06 21:26:34,2010-08-06 21:26:34,3,0,2010-08-06 21:26:59,0.0002893518518518,36.020439814814814,0.0,6,8,2010,4,0,3,0,21,26,34,3,7
2022,3557,8,3,10587,2011-09-16 23:19:23,2011-09-16 23:19:23,3,0,2011-10-06 16:50:50,19.730173611111116,19.730173611111116,0.0,16,9,2011,4,0,3,0,23,19,23,3,7
2023,1066,6,3,3120,2012-05-25 20:30:22,2012-05-25 20:30:22,3,0,0 days 00:00:00,0.0,0.1165972222222222,0.1165972222222222,25,5,2012,4,0,2,0,20,30,22,3,5
2024,4313,8,3,12893,2012-07-19 15:32:34,2012-07-19 15:32:34,3,0,2012-07-19 16:25:47,0.0369560185185185,0.0369560185185185,0.0,19,7,2012,3,0,3,0,15,32,34,3,7
2025,1628,1,3,4828,2011-11-24 19:01:02,2011-11-24 19:01:02,3,1,2011-11-24 20:43:58,0.0714814814814814,0.0720138888888888,0.0,24,11,2011,3,0,4,0,19,1,2,3,0
2026,1121,6,3,3290,2010-05-12 17:52:03,2010-05-12 17:52:03,3,0,0 days 00:00:00,0.0,6.944444444378917e-05,6.944444444378917e-05,12,5,2010,2,0,2,0,17,52,3,3,5
2027,3027,1,3,9006,2012-09-03 18:13:06,2012-09-03 18:13:06,3,1,2012-09-04 15:16:55,0.877650462962963,36.25504629629629,0.0,3,9,2012,0,0,3,0,18,13,6,3,0
2028,1333,8,5,3918,2010-06-04 17:16:54,2010-06-04 17:16:54,5,0,2010-06-04 20:12:27,0.1219097222222222,8.16255787037037,0.0,4,6,2010,4,0,2,0,17,16,54,5,7
2029,1333,8,5,3920,2010-06-09 19:47:56,2010-06-09 19:47:56,5,0,2010-06-09 19:48:04,9.25925925925926e-05,5.10497685185185,0.121909722222222,9,6,2010,2,0,2,0,19,47,56,5,7
2030,4095,1,3,12212,2010-12-20 17:53:54,2010-12-20 17:53:54,3,1,2010-12-20 21:01:25,0.1302199074074074,0.2309606481481481,0.0,20,12,2010,0,0,4,0,17,53,54,3,0
2031,3122,9,4,9289,2012-06-21 16:09:16,2012-06-21 16:09:16,4,0,2012-06-21 17:52:31,0.0717013888888888,5.764837962962964,0.0717013888888891,21,6,2012,3,0,2,0,16,9,16,4,8
2032,4541,6,3,13579,2012-02-15 23:22:40,2012-02-15 23:22:40,3,0,0 days 00:00:00,0.0,0.1206018518518519,0.1206018518518519,15,2,2012,2,0,1,0,23,22,40,3,5
2033,3809,8,4,11315,2010-07-14 22:01:23,2010-07-14 22:01:23,4,0,2010-07-14 22:01:34,0.0001273148148148,1.002916666666667,0.0001273148148148,14,7,2010,2,0,3,0,22,1,23,4,7
2034,1199,1,3,3528,2012-02-22 00:27:29,2012-02-22 00:27:29,3,1,2012-02-22 17:57:31,0.7291898148148148,0.7849189814814815,0.0,22,2,2012,2,0,1,0,0,27,29,3,0
2035,2783,1,4,8288,2011-06-29 23:43:14,2011-06-29 23:43:14,4,1,2011-07-07 15:57:38,7.676666666666667,7.941828703703703,0.0,29,6,2011,2,0,2,0,23,43,14,4,0
2036,2783,1,4,8289,2011-07-07 15:57:38,2011-07-07 15:57:38,4,0,2011-07-07 22:19:20,0.2650694444444444,7.941736111111111,0.0,7,7,2011,3,0,3,0,15,57,38,4,0
2037,1591,6,3,4712,2012-05-15 17:50:17,2012-05-15 17:50:17,3,0,0 days 00:00:00,0.0,0.0002199074074074,0.0002199074074074,15,5,2012,1,0,2,0,17,50,17,3,5
2038,2180,6,3,6499,2011-12-02 20:29:09,2011-12-02 20:29:09,3,0,0 days 00:00:00,0.0,0.8975231481481483,0.897523148148148,2,12,2011,4,0,4,0,20,29,9,3,5
2039,3423,1,6,10186,2011-07-05 18:25:29,2011-07-05 18:25:29,6,1,2011-07-05 22:52:10,0.1851967592592592,16.127303240740737,0.0,5,7,2011,1,0,3,0,18,25,29,6,0
2040,1688,1,7,5001,2011-02-16 17:28:16,2011-02-16 17:28:16,7,1,2011-02-16 17:29:09,0.0006134259259259,29.98903935185185,0.0,16,2,2011,2,0,1,0,17,28,16,7,0
2041,681,8,3,1921,2012-01-11 00:08:08,2012-01-11 00:08:08,3,0,2012-01-30 22:23:42,19.927476851851853,19.927476851851853,0.0,11,1,2012,2,0,1,0,0,8,8,3,7
2042,27,1,3,61,2011-11-24 23:02:16,2011-11-24 23:02:16,3,1,2011-11-24 23:02:35,0.0002199074074074,17.793414351851855,0.0,24,11,2011,3,0,4,0,23,2,16,3,0
2043,377,6,3,1053,2012-01-14 00:22:13,2012-01-14 00:22:13,3,0,0 days 00:00:00,0.0,2.840659722222224,2.8406597222222203,14,1,2012,5,1,1,0,0,22,13,3,5
2044,4211,1,3,12554,2012-02-17 01:13:24,2012-02-17 01:13:24,3,1,2012-02-17 17:50:03,0.6921180555555555,12.739710648148147,0.0,17,2,2012,4,0,1,0,1,13,24,3,0
2045,3158,1,3,9398,2012-06-28 18:12:13,2012-06-28 18:12:13,3,1,2012-06-28 18:53:09,0.0284259259259259,1.1166782407407407,0.0,28,6,2012,3,0,2,0,18,12,13,3,0
2046,2098,9,7,6276,2011-11-10 00:22:07,2011-11-10 00:22:07,7,0,2011-11-11 19:03:14,1.7785532407407407,28.651041666666668,1.1574074072484564e-05,10,11,2011,3,0,4,0,0,22,7,7,8
2047,2098,9,7,6277,2011-11-11 19:03:14,2011-11-11 19:03:14,7,0,2011-11-11 19:03:15,1.1574074074074072e-05,26.87261574074074,0.000127314814815,11,11,2011,4,0,4,0,19,3,14,7,8
2048,2098,9,7,6278,2011-11-11 19:03:15,2011-11-11 19:03:15,7,0,2011-11-16 17:23:39,4.930833333333333,23.72033564814815,1.7785532407407416,11,11,2011,4,0,4,0,19,3,15,7,8
2049,2098,9,7,6279,2011-11-16 17:23:39,2011-11-16 17:23:39,7,0,2011-12-02 17:15:58,15.994664351851853,22.704189814814814,4.930833333333332,16,11,2011,2,0,4,0,17,23,39,7,8
2050,1895,8,3,5631,2011-07-12 17:36:57,2011-07-12 17:36:57,3,0,2011-07-12 17:37:59,0.0007175925925925,6.761111111111111,0.0,12,7,2011,1,0,3,0,17,36,57,3,7
2051,1154,1,5,3383,2012-05-21 15:18:26,2012-05-21 15:18:26,5,1,2012-05-21 15:19:22,0.0006481481481481,0.0441550925925925,0.0,21,5,2012,0,0,2,0,15,18,26,5,0
2052,3789,1,5,11245,2012-03-23 22:49:59,2012-03-23 22:49:59,5,1,2012-03-26 15:01:08,2.6744097222222223,17.945266203703707,0.0,23,3,2012,4,0,1,0,22,49,59,5,0
2053,3805,6,4,11299,2011-12-30 00:24:57,2011-12-30 00:24:57,4,0,2011-12-30 00:24:57,0.0,5.991111111111112,0.0,30,12,2011,4,0,4,0,0,24,57,4,5
2054,3805,6,4,11300,2011-12-30 00:24:57,2011-12-30 00:24:57,4,0,0 days 00:00:00,0.0,2.051944444444445,2.051944444444445,30,12,2011,4,0,4,0,0,24,57,4,5
2055,3499,1,3,10415,2011-02-16 22:11:00,2011-02-16 22:11:00,3,1,2011-02-17 00:28:45,0.0956597222222222,1.1635995370370371,0.0,16,2,2011,2,0,1,0,22,11,0,3,0
2056,1066,8,3,3119,2012-05-25 17:42:28,2012-05-25 17:42:28,3,0,2012-05-25 20:30:22,0.1165972222222222,1.0071990740740742,0.0,25,5,2012,4,0,2,0,17,42,28,3,7
2057,2054,1,5,6136,2011-02-25 19:22:00,2011-02-25 19:22:00,5,1,2011-03-03 19:18:10,5.997337962962963,18.04107638888889,0.0,25,2,2011,4,0,1,0,19,22,0,5,0
2058,3660,1,3,10874,2012-01-20 20:34:17,2012-01-20 20:34:17,3,1,2012-01-20 20:34:27,0.0001157407407407,3.956122685185185,0.0,20,1,2012,4,0,1,0,20,34,17,3,0
